岗位名称,公司名称,工作地点,薪资,工作福利,公司类型,招聘人数,工作经验,发布日期,公司规模,招聘详情
会计,深圳中维装饰（集团）股份有限公司,深圳-福田区,4.5-6.5千/月,周末双休 五险一金 包吃 包住宿 节日福利,民营公司,4.0,4.0,2021-06-27 09:07:55,50-150人,https://jobs.51job.com/shenzhen-ftq/132949306.html?s=sou_sou_soulb&t=0_0
应收会计,上海晶粮贸易有限公司,上海-浦东新区,7-9千/月,五险一金,民营公司,5.0,3.0,2021-06-27 09:07:55,少于50人,https://jobs.51job.com/shanghai-pdxq/132817421.html?s=sou_sou_soulb&t=0_0
成本会计 (MJ000837),傲基科技股份有限公司,深圳-龙岗区,0.8-1.2万/月,五险一金 交通补贴 绩效奖金 弹性工作 住宿 加班餐,上市公司,6.0,4.0,2021-06-27 09:07:33,1000-5000人,https://jobs.51job.com/shenzhen-lgq/131246428.html?s=sou_sou_soulb&t=0_0
主办会计,浙江国厦装饰工程集团有限公司,杭州-上城区,0.8-1万/月,餐饮补贴 周末双休 节日福利 购买五险,民营公司,5.0,5.0,2021-06-27 09:06:40,50-150人,https://jobs.51job.com/hangzhou-scq/129725031.html?s=sou_sou_soulb&t=0_0
会计,广州凯芯贸易有限公司,广州-天河区,6-8千/月,周末双休 五险一金 员工旅游 绩效奖金,外资（非欧美）,6.0,5.0,2021-06-27 09:06:40,少于50人,https://jobs.51job.com/guangzhou-thq/125154615.html?s=sou_sou_soulb&t=0_0
财务会计专员,青岛丰禾奥恺食品有限公司,上海-浦东新区,0.8-1万/月,五险一金 全勤奖 免费班车 年终奖金 员工旅游,民营公司,5.0,4.0,2021-06-27 09:06:38,少于50人,https://jobs.51job.com/shanghai-pdxq/133072321.html?s=sou_sou_soulb&t=0_0
会计,深圳市派妮欧电子有限公司,深圳,0.8-1万/月,五险一金 补充医疗保险 员工旅游 专业培训 出国机会 年终奖金 定期体检,民营公司,5.0,6.0,2021-06-27 09:06:32,少于50人,https://jobs.51job.com/shenzhen/131817199.html?s=sou_sou_soulb&t=0_0
会计,广东珠江燃气集团股份有限公司,广州-白云区,5-6千/月,提供中餐 周末双休,民营公司,5.0,5.0,2021-06-27 09:06:11,50-150人,https://jobs.51job.com/guangzhou-byq/129981699.html?s=sou_sou_soulb&t=0_0
会计,精财汇智（海南）企业管理咨询有限公司,海口-龙华区,4.5-6千/月,周末双休 弹性工作 节日福利 通讯补贴 员工旅游 生日福利 年终奖励,民营公司,6.0,4.0,2021-06-27 09:06:10,150-500人,https://jobs.51job.com/haikou-lhq/133065891.html?s=sou_sou_soulb&t=0_0
会计,泰州市锐智财税咨询服务有限公司,泰州-海陵区,4.5-6千/月,绩效奖金,民营公司,5.0,5.0,2021-06-27 09:06:04,少于50人,https://jobs.51job.com/taizhou-hlq/131470773.html?s=sou_sou_soulb&t=0_0
A-Level数学/会计教师,厦门新航道留学服务有限责任公司,厦门-思明区,0.7-1.5万/月,五险一金 定期体检 绩效奖金 专业培训 带薪年假,民营公司,6.0,10.0,2021-06-27 09:06:01,150-500人,https://jobs.51job.com/xiamen-smq/126534256.html?s=sou_sou_soulb&t=0_0
财务会计专员,江苏杜帮智能科技有限公司,常州-武进区,4.5-6千/月,五险一金 餐饮补贴 节日福利 带薪年假,民营公司,5.0,5.0,2021-06-27 09:06:00,150-500人,https://jobs.51job.com/changzhou-wjq/132889268.html?s=sou_sou_soulb&t=0_0
高新会计,广东安达企业服务有限公司,东莞,0.8-1万/月,员工旅游 绩效奖金 专业培训 年终奖金 交通补贴 通讯补贴 股票期权 周末单双休 社保,民营公司,5.0,5.0,2021-06-27 09:05:55,50-150人,https://jobs.51job.com/dongguan/127698103.html?s=sou_sou_soulb&t=0_0
会计助理,深圳市优恩半导体有限公司,深圳-龙华区,5-7.5千/月,五险一金 员工旅游 年终奖金 专业培训 交通补贴 通讯补贴 周末双休,民营公司,4.0,3.0,2021-06-27 09:05:44,少于50人,https://jobs.51job.com/shenzhen-lhq/132852743.html?s=sou_sou_soulb&t=0_0
会计,昆明泊辰酒店管理有限公司,昆明-五华区,3-4.5千/月,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 绩效奖金 股票期权,合资,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/kunming-whq/133123434.html?s=sou_sou_soulb&t=0_0
会计,捷鹏塑胶（深圳）有限公司,深圳-光明区,6-8千/月,包住 餐补 养老保险 医疗保险 工伤保险 失业保险 生育保险 国家法定假 免费培训 免费体检,外资（非欧美）,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-gmq/133123392.html?s=sou_sou_soulb&t=0_0
财务会计(南京),香飘飘食品股份有限公司,南京-玄武区,6-8千/月,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 员工旅游 年终奖金,民营公司,6.0,4.0,2021-06-27 04:00:44,5000-10000人,https://jobs.51job.com/nanjing-xwq/133123294.html?s=sou_sou_soulb&t=0_0
会计,黄山王光熙松萝茶业股份公司,黄山,6-8千/月,五险一金 年终奖金 绩效奖金 专业培训 员工旅游 通讯补贴,民营公司,6.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/huangshan/133123240.html?s=sou_sou_soulb&t=0_0
记账会计,展睿投资咨询（深圳）有限公司,深圳-罗湖区,6-8千/月,五险一金 绩效奖金 每年有调薪 节日福利 带薪年假 工作氛围轻松 交通便利 周末双休 专业培训 氛围好,外资（非欧美）,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-lhq/133122611.html?s=sou_sou_soulb&t=0_0
总账会计,宜宾发展控股集团有限公司,宜宾,15-20万/年,五险一金 专业培训 交通补贴 餐饮补贴 通讯补贴 绩效奖金 周末双休 带薪年假 补充医疗保险 定期体检,国企,7.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/yibin/133121668.html?s=sou_sou_soulb&t=0_0
会计主管,广州寅林纺织品有限公司,佛山,4.5-6千/月,绩效奖金 年终奖金 交通补贴 通讯补贴 餐饮补贴 住房补贴 月休4天 节日福利,民营公司,4.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/foshan/133104175.html?s=sou_sou_soulb&t=0_0
财务会计专员（双休）,深圳标榜建设集团有限公司,深圳-南山区,7-8千/月,五险一金 年终奖金 周末双休 朝九晚六,民营公司,5.0,4.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-nsq/133045947.html?s=sou_sou_soulb&t=0_0
成本会计,青岛博诺信合时装有限公司,青岛-李沧区,4.5-6千/月,五险一金 周末双休 节日福利 专业培训,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/qingdao-lcq/133044676.html?s=sou_sou_soulb&t=0_0
会计,达州市天和贸易有限责任公司,内江,4.5-6千/月,餐饮补贴 交通补贴 节日福利 带薪年假 专业培训 绩效奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/neijiang/133040636.html?s=sou_sou_soulb&t=0_0
总账会计（包中晚餐）-制造业,深圳市创新智慧港有限公司,深圳-宝安区,6-8千/月,五险一金 专业培训 提供中晚两餐 节日福利,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-baq/133035889.html?s=sou_sou_soulb&t=0_0
税务会计,深圳市航世科技有限公司,深圳-宝安区,6-8千/月,包吃 包住宿 绩效奖金 全勤奖 餐饮补贴,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-baq/133026408.html?s=sou_sou_soulb&t=0_0
会计（药企）,吉林省盛瑞药业有限公司,长春,3.5-6千/月,五险一金 节日福利 绩效奖金 包吃 专业培训 周日休息 法定休息 带薪年假,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/changchun/133020771.html?s=sou_sou_soulb&t=0_0
会计,深圳市凯迪文森时装有限公司,深圳,6-8千/月,带薪年假 节日福利 五险 加班补贴 专业培训 绩效奖金,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen/133018590.html?s=sou_sou_soulb&t=0_0
总账会计,国汇机械制造泰州有限公司,泰州,6-8千/月,五险 包吃 包住宿,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/taizhou/133015794.html?s=sou_sou_soulb&t=0_0
财务会计专员,牧星（上海）国际贸易有限公司,上海-闵行区,6-9千/月,做五休二 周末双休 带薪年假 五险一金,民营公司,5.0,10.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shanghai-mhq/133001757.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳维盟科技股份有限公司,深圳-龙华区,0.8-1万/月,五险一金 补充医疗保险 年终奖金 5天8小时 带薪年假,民营公司,6.0,6.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-lhq/132999697.html?s=sou_sou_soulb&t=0_0
会计主管,奥兰熊（北京）教育科技有限公司,乌鲁木齐-水磨沟区,6-8千/月,五险一金 绩效奖金 带薪年假,民营公司,5.0,6.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/urumqi-smgq/132992238.html?s=sou_sou_soulb&t=0_0
财务做账会计,上海嘉莹投资管理咨询有限公司,上海-嘉定区,6-8千/月,周末双休 专业培训 交通补贴 弹性工作,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shanghai-jdq/132988712.html?s=sou_sou_soulb&t=0_0
会计,云南爱斯特医疗器械有限公司,昆明,4.5-6千/月,购买五险 节日福利 绩效奖金 专业培训 交通补贴 年终奖金,民营公司,4.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/kunming/132988535.html?s=sou_sou_soulb&t=0_0
成本会计,深圳市谦泽豪科技有限公司,深圳-坪山区,6-8千/月,五险 员工旅游 专业培训 绩效奖金 年终奖金 管吃住,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-psq/132985518.html?s=sou_sou_soulb&t=0_0
往来会计,重庆策宇建设工程有限公司,重庆-渝北区,4.5-6千/月,弹性工作 五险 绩效奖金 年终奖金 通讯补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/chongqing-ybq/132972525.html?s=sou_sou_soulb&t=0_0
会计（应付费用）,深圳市拉普拉斯能源技术有限公司,无锡,6-8千/月,绩效奖金 包住宿 包三餐 五险一金 员工旅游 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/wuxi/132971807.html?s=sou_sou_soulb&t=0_0
成本会计,广东联盈控电子科技有限公司,安庆,4.5-6千/月,绩效奖金 年终奖金 包吃 包住宿 全勤奖 节日福利,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/anqing/132912888.html?s=sou_sou_soulb&t=0_0
财务/会计/总账主管,广州市宝勒博汽车零部件有限公司,东莞-麻涌镇,0.8-1.2万/月,带薪年假 包吃 住房补贴 全勤奖 节日福利 专业培训 餐饮补贴 通讯补贴 年终奖金 包住宿,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/dongguan-mcz/132893080.html?s=sou_sou_soulb&t=0_0
会计,苏州金海阁品牌管理有限公司,苏州-工业园区,5-7千/月,全勤奖 弹性工作 带薪年假,民营公司,5.0,4.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/suzhou-gyyq/132881385.html?s=sou_sou_soulb&t=0_0
会计,合肥鹏翼医疗科技发展有限公司,合肥-高新区,4.5-6千/月,交通补贴 专业培训 定期体检 绩效奖金 通讯补贴 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/hefei-gxq/132878909.html?s=sou_sou_soulb&t=0_0
主办会计,贵州鼎恒信商业管理有限公司,贵阳,6-8千/月,五险一金 交通补贴 通讯补贴 餐饮补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/guiyang/132874093.html?s=sou_sou_soulb&t=0_0
总账会计 龙华,深圳市宝视佳科技有限公司,深圳-龙华区,0.8-1万/月,五险一金 提供住宿 带薪女生假 每年带薪旅游 节日福利 工作氛围好 每月团建 无责任底薪 5.5天制 绩效奖金,合资,6.0,6.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/shenzhen-lhq/132828312.html?s=sou_sou_soulb&t=0_0
财务会计专员,广州文字力量文化传播有限公司,深圳-宝安区,5-6千/月,五险一金 年终奖金 做五休二,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-baq/132813094.html?s=sou_sou_soulb&t=0_0
会计,深圳市顶呱呱母婴用品有限公司,深圳-龙岗区,6-8千/月,绩效奖金 节日福利 包吃 包住宿,民营公司,4.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-lgq/132812436.html?s=sou_sou_soulb&t=0_0
主办会计,合肥千力塑料模具有限公司,合肥-庐阳区,4.5-6千/月,员工旅游 餐饮补贴 专业培训 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/hefei-lyq/132792288.html?s=sou_sou_soulb&t=0_0
跨境电商会计专员,广州市潜龙电子商务有限公司,广州-荔湾区,4.5-6千/月,五险一金 绩效奖金 员工旅游 专业培训,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/guangzhou-lwq/132735235.html?s=sou_sou_soulb&t=0_0
应收会计,广州进贸通供应链有限公司,广州-海珠区,6-8千/月,补充医疗保险 员工旅游 带薪年假 全勤奖 节日福利 绩效奖金 专业培训 五险一金,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/guangzhou-hzq/132729487.html?s=sou_sou_soulb&t=0_0
会计,辽宁海百纳新能源技术开发有限公司,沈阳-皇姑区,3-4.5千/月,周末双休 五险双休,民营公司,6.0,4.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenyang-hgq/132721243.html?s=sou_sou_soulb&t=0_0
总账会计,深圳市威利佳泰集团有限公司,深圳-宝安区,0.8-1万/月,交通补贴 餐饮补贴 通讯补贴 股票期权 弹性工作,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-baq/132680380.html?s=sou_sou_soulb&t=0_0
会计（跨境电商）,上海通泰化学有限公司,上海-徐汇区,0.8-1.5万/月,带薪年假 五险一金 绩效奖金 节日福利 餐饮补贴 定期体检 专业培训,民营公司,5.0,6.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shanghai-xhq/132678034.html?s=sou_sou_soulb&t=0_0
财务会计专员,深圳市雅朵家具织品有限公司,深圳-盐田区,4.5-6千/月,五险一金 绩效奖金 节日福利 专业培训 通讯补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-ytq/132614663.html?s=sou_sou_soulb&t=0_0
总账会计（单休）,南京润华建设集团有限公司,南京-江宁区,0.8-1万/月,包吃 五险一金 通讯补贴,民营公司,6.0,6.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/nanjing-jnq/132573262.html?s=sou_sou_soulb&t=0_0
主办会计/财务,林氏（福建）投资有限公司,武汉-洪山区,4-6千/月,六险一金 员工旅游 年终奖金 绩效奖金 餐饮补贴 交通补贴 全勤奖 13薪,合资,6.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/wuhan-hsq/132544847.html?s=sou_sou_soulb&t=0_0
财务会计专员,上海雅运纺织化工股份有限公司,上海-嘉定区,4.5-6千/月,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 定期体检 年终双薪 通讯补贴,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shanghai-jdq/132542731.html?s=sou_sou_soulb&t=0_0
会计,深圳市恒必达电子科技有限公司,深圳-宝安区,0.7-1.2万/月,员工旅游 年终奖金 弹性工作 定期体检 绩效奖金 发展空间大,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-baq/132540641.html?s=sou_sou_soulb&t=0_0
会计,赛邦金属包装有限公司,广州-增城区,4-5千/月,五险一金 绩效奖金 单双休 带薪年假 交通补贴 餐饮补贴 住房补贴 通讯补贴 节日福利,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/guangzhou-zcq/132526028.html?s=sou_sou_soulb&t=0_0
会计,青岛鑫利杰经贸有限公司,青岛-市北区,6-8千/月,年终奖金 员工旅游 绩效奖金 五险 单休 交通补贴,民营公司,4.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/qingdao-sbq/132501240.html?s=sou_sou_soulb&t=0_0
工业主管会计,河北贝尔集团有限公司,沧州,6-8千/月,五险 年终奖金 定期体检 交通补贴 包吃 包住宿,民营公司,5.0,6.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/cangzhou/132483902.html?s=sou_sou_soulb&t=0_0
财务会计-娄葑,江苏华星会计师事务所有限公司,苏州-工业园区,4.5-6千/月,周末双休 五险一金 交通补贴 节日福利 餐饮补贴,民营公司,6.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/suzhou-gyyq/132457246.html?s=sou_sou_soulb&t=0_0
会计助理,佛山市古达建材有限公司,佛山-禅城区,4.5-6千/月,年终奖金 社保 周末双休,民营公司,5.0,5.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/foshan-ccq/132425487.html?s=sou_sou_soulb&t=0_0
总账会计,深圳博磊达新能源科技有限公司,深圳-南山区,0.8-1.5万/月,五险一金 节日福利 员工旅游 专业培训,上市公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-nsq/132402610.html?s=sou_sou_soulb&t=0_0
主办会计,苏州融益会计师事务所有限公司,苏州-相城区,5-7千/月,周末双休 带薪年假 专业培训 五险一金,民营公司,5.0,4.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/suzhou-xcq/132393231.html?s=sou_sou_soulb&t=0_0
总账及成本会计,西安真爱服务事业股份有限公司,西安,4.5-6千/月,专业培训 定期体检 员工旅游 餐饮补贴 年终奖金 五险一金 绩效奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/xian/132374560.html?s=sou_sou_soulb&t=0_0
总账会计,广东明丰科技实业集团有限公司,中山-港口镇,4-5.5千/月,专业培训 通讯补贴 年终奖金 购买五险 弹性工作 节日福利,民营公司,5.0,4.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/zhongshan-gkz/132359676.html?s=sou_sou_soulb&t=0_0
税务会计,深圳市劲麦商贸有限公司,深圳-龙岗区,0.6-1万/月,绩效奖金 五险一金 年终奖金 员工旅游 全勤奖 带薪年假 餐饮补贴 专业培训 加班补贴 节日福利,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shenzhen-lgq/132354086.html?s=sou_sou_soulb&t=0_0
财务会计专员,河南建晟置业有限公司,商丘,4.5-6千/月,五险一金 定期体检 专业培训,民营公司,5.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shangqiu/132353171.html?s=sou_sou_soulb&t=0_0
会计,山东能士信息科技有限公司,济南-市中区,0.5-1万/月,五险一金 交通补贴 通讯补贴 定期体检 带薪年假 周末双休 年底双薪 高温补贴 节日福利,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/jinan-szq/132350057.html?s=sou_sou_soulb&t=0_0
全盘会计,深圳华海达科技有限公司,深圳-龙岗区,0.6-1.2万/月,包住宿 节日福利 专业培训 餐饮补贴 年终奖金 员工旅游 补充医疗保险 通讯补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/shenzhen-lgq/132293121.html?s=sou_sou_soulb&t=0_0
总账会计,广州市力瑞电气机械有限公司,广州-南沙区,6-7千/月,包吃 全勤奖 节日福利 加班补贴 住房补贴 高温补贴 员工旅游 年终奖金 定期体检,民营公司,5.0,6.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/guangzhou-nsq/132285742.html?s=sou_sou_soulb&t=0_0
会计主管,东莞市星锐汽车有限公司,东莞-虎门镇,6.5-8千/月,五险一金 专业培训 绩效奖金 包三餐 包住宿 节日福利,民营公司,5.0,4.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/dongguan-hm/132273015.html?s=sou_sou_soulb&t=0_0
会计,青岛广大方圆橡塑制品有限公司,青岛-莱西市,3.5-6千/月,包吃 包住宿 全勤奖 绩效奖金 节日福利,民营公司,5.0,3.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/qingdao-lxs/132258556.html?s=sou_sou_soulb&t=0_0
财务会计（应收应付）,优布（广州）纺织品有限公司,广州-番禺区,5-8千/月,绩效奖金 弹性工作 社保 通讯补贴,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/guangzhou-pyq/132253070.html?s=sou_sou_soulb&t=0_0
区域管理会计,南京圣迪奥时装有限公司,南京,4-5千/月,带薪年假 交通补贴 餐饮补贴 节日福利 年终奖金 五险一金,民营公司,5.0,4.0,2021-06-27 04:00:44,5000-10000人,https://jobs.51job.com/nanjing/132161677.html?s=sou_sou_soulb&t=0_0
会计,江苏国华管塔制造有限公司,徐州,4.5-6千/月,五险一金 免费班车 餐饮补贴 绩效奖金 定期体检 包住宿,民营公司,5.0,5.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/xuzhou/132147109.html?s=sou_sou_soulb&t=0_0
财务会计,深圳市达通国际贸易有限公司,深圳-龙岗区,0.7-1万/月,带薪年假 定期体检 五险 股票期权 通讯补贴 年终奖金 绩效奖金,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shenzhen-lgq/132126712.html?s=sou_sou_soulb&t=0_0
税务会计,安徽尚京网络科技股份有限公司,合肥-滨湖新区,4.5-6千/月,弹性工作 带薪年假 包吃 全勤奖 节日福利 专业培训 住房补贴 高温补贴,上市公司,5.0,3.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/hefei-bhxq/132037185.html?s=sou_sou_soulb&t=0_0
会计,杰普斯科技（深圳）有限公司,深圳-龙岗区,4.5-6千/月,员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 节日福利 五险一金,民营公司,4.0,3.0,2021-06-27 04:00:44,500-1000人,https://jobs.51job.com/shenzhen-lgq/132018488.html?s=sou_sou_soulb&t=0_0
成本会计,广东仙津实业投资有限公司,东莞-横沥镇,1.2-2万/月,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 员工生日会,民营公司,5.0,7.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/dongguan-hlz/132008293.html?s=sou_sou_soulb&t=0_0
应收会计,广东华昌集团有限公司,佛山-南海区,6-8千/月,带薪年假 包住宿 节日福利 专业培训 餐饮补贴 通讯补贴 高温补贴 五险,民营公司,5.0,3.0,2021-06-27 04:00:44,1000-5000人,https://jobs.51job.com/foshan-nhq/132003097.html?s=sou_sou_soulb&t=0_0
餐饮成本会计/财务,上海笼百味餐饮管理有限公司,上海-杨浦区,4.5-6.5千/月,包三餐 包住宿 带薪年假 包吃 节日福利 全勤奖 高温补贴 加班补贴,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/shanghai-ypq/131975904.html?s=sou_sou_soulb&t=0_0
全盘会计,上海史贝斯餐饮管理有限公司,广州-天河区,0.8-1万/月,带薪年假 绩效奖金 节日福利 专业培训,民营公司,6.0,3.0,2021-06-27 04:00:44,5000-10000人,https://jobs.51job.com/guangzhou-thq/131969441.html?s=sou_sou_soulb&t=0_0
总账会计,启东先豪精密工具有限公司,南通,6-8千/月,五险 包吃,外资（非欧美）,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/nantong/131905042.html?s=sou_sou_soulb&t=0_0
会计,湖南爱尚智美居环境科技有限公司,长沙-雨花区,4.5-6千/月,员工旅游 年终奖金,民营公司,5.0,5.0,2021-06-27 04:00:44,50-150人,https://jobs.51job.com/changsha-yhq/131858515.html?s=sou_sou_soulb&t=0_0
成本会计,广东盛天体育股份有限公司,东莞-松山湖区,0.7-1万/月,员工旅游 专业培训 提供住宿 节日福利 五险,民营公司,5.0,4.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/dongguan-sshq/131849072.html?s=sou_sou_soulb&t=0_0
总账会计,常州科隆威智能技术有限公司,常州-金坛区,6-8千/月,五险一金 带薪年假 包三餐 包住宿 绩效奖金 全勤奖 节日福利,民营公司,5.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/changzhou-jtq/131845520.html?s=sou_sou_soulb&t=0_0
会计,上海盈飞实业有限公司,上海-静安区,6-8千/月,五险一金 做五休二 周末双休 全勤奖 绩效奖金,民营公司,5.0,3.0,2021-06-27 04:00:44,少于50人,https://jobs.51job.com/shanghai-jaq/131827108.html?s=sou_sou_soulb&t=0_0
主办会计,肇庆红雨伞服饰有限公司,肇庆,4-4.5千/月,弹性工作 包住宿 免费班车 绩效奖金 通讯补贴 带薪年假 五险一金 年终奖金,民营公司,4.0,5.0,2021-06-27 04:00:44,150-500人,https://jobs.51job.com/zhaoqing/131822019.html?s=sou_sou_soulb&t=0_0
